ID,Age,Power,Value_vehicle,Premium,N_claims_history,R_Claims_history,Seniority,Channel_label,Risk_label,total_claim_cost_by_type,n_claim_records,dominant_claim_type,segment
1,62,80.0,7068.0,21703.25,0,0,4,Acente,Motorsiklet,0.0,0.0,,1
2,62,80.0,7068.0,11860.0,0,0,4,Acente,Motorsiklet,0.0,0.0,,1
3,43,85.0,16030.0,12804.75,0,0,15,Acente,Binek araç,0.0,0.0,,1
4,45,6.0,126182.0,11779.0,0,0,3,Acente,Motorsiklet,0.0,0.0,,1
5,44,6.0,3000.0,8065.0,0,0,3,Acente,Motorsiklet,0.0,0.0,,1
6,51,87.0,9927.0,25596.0,2,16,13,Acente,Binek araç,0.0,0.0,,0
7,69,109.0,16550.0,34043.0,4,2,3,Broker,Binek araç,0.0,0.0,,1
8,77,130.0,27330.0,34139.67,6,34,18,Acente,Binek araç,0.0,0.0,,0
9,68,65.0,13140.0,23673.0,2,5,6,Broker,Binek araç,0.0,0.0,,1
10,68,65.0,24850.0,16199.0,2,0,6,Broker,Binek araç,0.0,0.0,,1
11,68,65.0,21600.0,24851.5,2,0,6,Broker,Binek araç,0.0,0.0,,1
12,71,70.0,13780.0,48242.67,8,4,3,Broker,Van,0.0,0.0,,1
13,67,75.0,8548.0,25362.67,0,0,3,Acente,Binek araç,0.0,0.0,,1
14,67,90.0,19390.0,44029.33,1,0,4,Broker,Binek araç,0.0,0.0,,1
15,72,100.0,16190.0,12263.33,1,0,4,Broker,Binek araç,0.0,0.0,,1
16,63,103.0,1520561.0,46216.0,5,2,19,Acente,Binek araç,0.0,0.0,,0
17,60,110.0,17000.0,37518.67,7,75,10,Acente,Binek araç,0.0,0.0,,0
18,76,140.0,26400.0,22894.33,7,36,20,Acente,Binek araç,0.0,0.0,,0
19,75,136.0,22400.0,26569.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
20,74,110.0,20720.0,35165.5,0,0,2,Acente,Binek araç,0.0,0.0,,1
21,75,115.0,1934057.0,25673.0,0,0,3,Broker,Binek araç,0.0,0.0,,1
22,73,100.0,15571.0,27135.0,1,25,5,Acente,Binek araç,0.0,0.0,,1
23,59,90.0,19550.0,43840.5,0,0,2,Acente,Binek araç,0.0,0.0,,1
24,55,115.0,2406394.0,32802.0,0,0,1,Acente,Van,0.0,0.0,,1
25,71,75.0,13950.0,22988.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
